date,time,location,operator,flight no,route,AC type,registration,cn/ln,aboard,passengers_on_aboard,crew_on_aboard,fatality,passengers_fatality,crew_fatality,ground_fatality,summary
"April 13, 2013",1535,"Denpasar, Indonesia",Lion Air,904,Bandung - Denpasar,Boeing B-737-8GP,PK-LKS,38728/4350,108.0,101.0,7.0,0.0,0.0,0.0,0,"The airliner came down in the ocean, 150 feet short of the runway, while on final approach to Denpasar-Ngurah Rai Bali International Airport. All 101 passengers and crew of 7 survived. Forty-five people were injured."
"April 29, 2013",1525,"Bagram Air Base, Afghanistan",National Air Cargo,102,Bagram - Dubai Al Maktoum,Boeing B-747-428BCF,N949CA,25630/960,7.0,0.0,7.0,7.0,0.0,7.0,0,"The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000
pounds, broke free and smashed into the tail, severing two hydraulic  systems and the elevator jackscrew, leaving the plane uncontrollable."
"May 31, 2013",1211,"Moosonee, Ontario",Ornge Air Ambulance,?,Moosonee- Attawapiskat,Sikorsky S-76,?,?,4.0,2.0,2.0,4.0,2.0,2.0,0,"The air ambulance helicopter crashed 0.7 miles from its departure point. The pilot, copilot and two paramedics were killed. The helicopter was headed to Attawapiskat to pick up a patient."
"June 25, 2013",?,"Gaurikund, near Kedarnath, Uttarakhand State, India.",Indian Air Force,?,From Gauchar airstrip,MI 172 V5 helicopter,?,?,20.0,15.0,5.0,20.0,15.0,5.0,0,Crashed during flood relief operations. The passengers were from paramilitary forces.
"July 06, 2013",1138,"San Francisco, California",Asiana Airlines,214,Shanghai - Seoul - San Francisco,Boeing B-777-28EER,HL7742 ,29171/553,307.0,291.0,16.0,3.0,3.0,0.0,0,"The aircraft crash landed short of the runway while on approach to runway 28L at San Francisco International Airport. The tail section, landing gear, and both engines separated from the fuselage and a fire erupted. Debris was scattered from the ocean front to the runway to where the aircraft came to rest. The plane's voice and flight data recorders show that the aircraft was coming in too slow and too low and that the pilots appear to have increased speed seven seconds before impact. A stall warning sounded four seconds before the crash, and the crew then made an internal decision ""to initiate a go-around 1.5 seconds to impact.Two passengers were killed and 182 injured. One passenger was run over by one of the emergency vehicles. The crew's failure to monitor and maintain the plane's airspeed, and its failure to abort the landing when in trouble. The pilot and co-pilot reasonably believed the automatic throttle would keep the plane flying fast enough to land safely, when in fact the auto throttle was effectively shut off after the pilot idled it to correct an unexplained climb earlier in the landing. The flight crew over-relied on automated systems that they did not fully understand."
"July 07, 2013",1120,"Soldotna, Alaksa",Rediske Air,?,Soldotna - Bear Lodge,de Havilland Canada DHC-3T,N93PC,280,10.0,9.0,1.0,10.0,9.0,1.0,0,"As soon as the plane took off speed began to decline until the plane stalled and crashed.  The probable cause of the crash was the operators failure to account for about 420 additional pounds of unspecified cargo, which led to loading and operating the de Havilland DHC3 Otter outside its weight and center-of-gravity limits leading to an aerodynamic stall."
"August 09, 2013",0800,"Mogadishu, Somalia",Military - Ethiopian Air Force,?,Dire Dawa - Mogadishu,Antonov An-12,?,?,6.0,0.0,6.0,4.0,0.0,4.0,0,The cargo plane crashed on the runway and caught fire while attempting to land at Mofadisu International Airport.
"August 14, 2013",0449,"Birmingham, Alabama",United Parcel Service,1354,Louisville - Birmingham,Airbus A300F-622R,N155UP,841,2.0,0.0,2.0,2.0,0.0,2.0,0,"The cargo plane was on approach when it struck trees, crashed and burst into flames. The flight crews failure to properly configure and verify the flight management computer for the profile approach. The captains failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured."
"October 03, 2013",0932,"Lagos, Nigeria",Associated Aviation,361,Lagos - Akure,Embraer 120RT Brasilia,5N-BJY,120174 ,20.0,13.0,7.0,16.0,11.0,5.0,0,"The chartered plane crashed minutes after taking off from Murtala Muhammad International Airport.The aircraft lost height, after departing runwal 18L, impacted trees, a brick wall and caught fire. The decision of the crew to continue the take-off despite the abnormal No. 2 Propeller rpm indication. Low altitude stall as a result of low thrust at start of roll for take-off from No. 2 engine caused by an undetermined malfunction of the propeller control unit."
"October 10, 2013",1450,"Kudat, Malaysia",MASwings,3002,Kota - Kudat,de Havilland Canada DHC-6 Twin Otter 310,9M-MDM,804,16.0,14.0,2.0,2.0,1.0,1.0,0,"While attempting to land, the Twin Otter struck a house located to the right of runway 22. The nose section was destroyed and the right wing broke off. The co-pilot and one passenger were killed. Procedural errors by the captain. The aircraft should have been in the correct landing configuration at or below the stabilized approach altitude of 500ft AGL, since the aircraft was not stable due to the tail wind and gusting weather."
"October 16, 2013",1610,"Near Pakse, Laos",Lao Airlines,301,Vientiane - Pakse,ATR-72-50,RDPL-34233 ,1071,49.0,44.0,5.0,49.0,44.0,5.0,0,"The aircraft crashed into the Mekong River 5 miles from Paskse, while on approach to land and after attempting a go-around. The fuselage broke in two and sank into the river. The weather was poor at the time of the accident, with the tail end of Hurricane Nari affecting the area.  A sudden change in weather conditions and the flight crew's failure to properly execute procedure have been identified as the probable causes of the crash. The flight crew's minima of 600 feet was lower than the published minima of 990 feet and the incorrect height of 645 feet as published in the JEPPESEN Chart at that time.After aborting the aircraft's approach at an altitude of around 595 feet, the flight crew executed a right turn instead of a nominal climb as dictated by the airport's VOR/DME missed approach procedure."
"November 03, 2013",1600,"Riberalta, Bolivia",Aerocon,?,"Trinidad, Bolivia - Riberalta, Bolivia",Swearingen SA227-AC Metro III,CP-275,AC-721B ,18.0,16.0,2.0,8.0,8.0,0.0,0,"While landing in heavy rain, the aircraft veered off the runway, caught fire after hitting some brush and came to rest inverted."
"November 09, 2013",1030,"Pujungan, Malinau district, Borneo",Military - Indonesian Army,?,Tarakan - Malinau,Mil- Mi-17B-5,?,?,21.0,13.0,8.0,13.0,7.0,6.0,0,"After losing power, the helicopter crashed into dense jungle and burst into flames. It was carrying construction materials, 8 military personnel and 13 civilian construction workers. Two military personnel and 6 passengers survived."
"November 10, 2013",1834,"Red Lake, Ontario, Canada",Bearskin Airlines,?,Sioux Lookout - Red Lake,Swearingen SA227-AC Metro II,C-FFZN,AC785B,7.0,5.0,2.0,5.0,3.0,2.0,0,"The aircraft was on approach to runway 26, in light snow, when it crashed and burned in the surrounding forest. Three of the five passengers and the two pilots were killed.  A first-stage turbine wheel blade in the left engine failed due to a combination of metallurgical issues and stator vane burn-through."
"November 17, 2013",1920,"Near Kazan, Russia",Tararstan Airlilnes,363,Moscow - Kastan,Boeing 737-53A,VQ-BBN,24785/1882,50.0,44.0,6.0,50.0,44.0,6.0,0,"The airliner went into a nearly vertical dive and crashed onto the runway and disintegrated, after attempting to land a second time. The aircraft hit the runway and burst into flames. The pilot in command, in executing a go-around, apparently placed the plane in an excessive nose high attitude, stalling the plane. Inexperienced crew, poor flight safety standards at the Tatarstan air company and lack of proper control over crew training."
"November 29, 2013",2025,Glasgow Scotland,Bond Air Services Ltd.,?,?,Eurocopter EC135 T2,G-SPAO,0546,3.0,2.0,1.0,3.0,2.0,1.0,5,The police helicopter crashed into the roof of the Clutha Pub in central Glasgow killing at least 5 patrons along with 3 aboard he helicopter. The helicopter was carrying a civilian pilot and two Strathclyde police officers.
"November 29, 2013",1330,"Bwabwata National Park, Nambia",Mozambique Airline,470,"Maputo, Mozambique - Luanda, Angola",Embraer ERJ-190AR,C9-EMC,19000581,33.0,27.0,6.0,33.0,27.0,6.0,0,"The airliner crashed into Bwabwata National Park while en route to Luanda. The plane was found completely burned out with no survivors. The plane went missing in bad weather and poor visibility. The inputs to the auto flight systems by the person believed to be the Captain, caused the aircraft to departure from cruise flight to a sustained controlled descent and subsequent collision with the terrain. The Captain locked the cockpit door preventing the copilot from reentering after he requested permission to go to the lavatory."
"December 05, 2013",?,"Near Cachimbo, Brazil",Heringer Taxi Aero,?,Pukanu - Novo Progresso,Britten Norman BN-2A-3 Islander,PT-WMY,314,5.0,3.0,2.0,5.0,3.0,2.0,0,"While performing an ambulance flight, the aircraft crashed under unknown circumstances in a wooded area killing 3 passengers and 2 pilots. The lack of control on the part of the companys management in relation to the flights operating outside of the main base allowed the pilot and the base manager to conduct a flight without the operating sector authorization."
"December 26, 2013",2139,"Irkutsk, Russia",IrAvia,?,Novosibirsk - Ikustsk,Antonov 12,12162,3341509,9.0,3.0,6.0,9.0,3.0,6.0,0,"The cargo plane, carrying spare parts, crashed into a military army arsenal at Ikustsk-2 Airport while attempting to land. The crew of 6 and 3 technicians were all killed."
"January 20, 2014",1634,Near Petreasa Romania,Scoala Superioara de Aviatie Civla,?,Bucharest - Oradea,Britten Norman BN-2A-27 Islander,YR-BNP,822,7.0,5.0,2.0,2.0,1.0,1.0,0,The air ambulance left Bucharest with a medical team to obtain transplant organs. After experiencing problems with the engines the pilot attempted to make an emergency landing but crashed on a hillside in deep snow. All aboard initially survived but the pilot and a medical student died before the rescue party reached the aircraft.
"February 11, 2014",1159,"Near Ain Kercha, Algeria",Military - Algerian Air Force,?,Tamanarasset - Constatine,Lockheed C-130H-30 Hercules,7T-WHM,4919,77.0,73.0,4.0,76.0,72.0,4.0,0,The military transport crashed into a mountainous region approximaely 30 miles southeast of Constatine Airport. Unfavorable weather conditions and storms accompanied by snow were reported in the area. The aircraft was too low on approach and hit the slope of mount Djebel Ta Fertas.
"February 16, 2014",1315,"Sandhikhark, Nepal",Nepal Airlines,183,Kathmandu - Pokhara - Jumla,de Havilland Canada DHC-6 Twin Otter 300,9N-ABB ,302,18.0,15.0,3.0,18.0,15.0,3.0,0,"The passenger plane crashed into a snow covered mountain and burst into flames while en route from Pokhara to Jamia. Weather was poor at the time of the accident. The PIC lost situation awareness while cruising in IMC, causing the aircraft to collide with terrain."
"February 21, 2014",0145,"Grombalia, Tunisia",Libyan Air Cargo,?,Tripoli - Tunis,Antonov 26,5A-DOW ,11809,11.0,6.0,5.0,11.0,6.0,5.0,0,"The aircraft, carrying a medical team with three patients, was destroyed when it crashed in a field, 20 miles from Tunis-Carthage Airport. The pilot reported an engine on fire prior to the accident."
"March 08, 2014",0241,South Indian Ocean,Malaysia Airlines,370,Kuala Lumpur - Beijing,Boeing 777-200,9M-MRO,28420/404,239.0,227.0,12.0,239.0,227.0,12.0,0,Radar contact was lost with the aircraft 2 hours into the flight at 0240. All indications are that the aircraft changed direction from its flight path and crashed in a remote part of the Indian Ocean southwest of Perth Australia. It is assumed all 227 passengers and crew of 12 perished. The cause remains unknown.
"March 18, 2014",0752,"Seattle, Washington",Helicopters Inc / KOMO TV,?,News reporting,Urocopter AS350 B2,N250FB,3669,2.0,1.0,1.0,2.0,1.0,1.0,0,The news helicopter crashed and burst into flames shortl after taking off striking three vehicles. One person in one of the vehicles was badly burned. The helicopter Photojournalist Bill Strothman and the pilot were both killed.
"April 19, 2014",1945,"Ramos Arizpe, Mexico",Lineas Aereas Comerciales,?,Cozumel - Ramos Arizpe,British Aerospace BAe 125-700A Hawker,XA-UKR,25719,8.0,6.0,2.0,8.0,6.0,2.0,0,"While on approach, in fog, the jet crashed into an park about half-a-mile north of Saltillo-Plan de Guadalupe International Airport."
"April 20, 2014",1530,"Jamijarvi, Finland",Suomen Urheiluilmailijat,?,Skydiving,Aerocomp Comp Air 8,OH-XDZ ,?,8.0,7.0,1.0,8.0,7.0,1.0,0,"While carrying skydivers, the experimental plane went into a spin and crashed and burned in a forest. The pilot and two skydivers were able to parachute to safety with minor injuries."
"May 08, 2014",1245,"Near San Vicente del Caguan, Colombia",Alisansa Colombia,?,Villavicencio - Florencia,Douglas DC-3C,HK-4700,9700,6.0,0.0,6.0,6.0,0.0,6.0,0,The Cargo plane sruck the side of a mountain about 25 miles north of San Vicente del Caguán while en route. The accident was the result of a controlled flight into terrain. The crew failed to evaluate properly the risks and the danger of poor weather conditions and decided to perform the flight in VFR mode.
"May 17, 2014",0800,"Xiang Khouang province, Laos",Laos Air Force,?,Vientiane - Xiangkhoung,Antonov 74TK-300,RDPL-34020 ,36547098982,17.0,11.0,6.0,16.0,10.0,6.0,0,"The military aircraft crashed in a wooded area while approaching Xiangkhoung's airport, killing 16 people. Among those killed were defense minister Douangchay Phichit and other high ranking officials. For unknown reason, crew was approaching at a too low an altitude."
"June 14, 2014",0050,"Lugansk, Ukraine",Military - Ukraine Air Force,?,Melitopol - Luhansk,Ilyushin 76MD,76777,0083482490,49.0,40.0,9.0,49.0,40.0,9.0,0,The military transport crashed in a wheat field  near Lugansk Airport after being shot down by anti-aircraft fire.
"July 02, 2014",?,"Near Nairobi, Kenya",Skyward International Aviation,?,"Nairobi - Mogadishu, Somalia",Fokker 50,5Y-CET,20262,4.0,0.0,4.0,4.0,0.0,4.0,0,"The cargo plane, transporting the mild stimulant known as Khat to the Somali capital, Mogadishu, crashed into a commercial building after taking off from Jomo Kenyatta International Airport. While climbing by night, crew lost control of the aircraft. The probable cause of the accident was the decision by the crew to conduct the flight with a known mechanical problem and their failure to abort or reject the takeoff after receiving twenty-seven cautions."
"July 07, 2014",0750,"Thach That district, Vietnam",Military - Vietnam People's Army Air Force,?,Training,Mil Mi-171,?,?,19.0,21.0,2.0,18.0,,,0,"The helicopter crashed about  40 km west of Hanoi, 15 minutes after taking off during a parachute training mission."
"July 17, 2014",1619,"Hrabove, Ukraine",Malaysia Airlines,17,Amsterdam - Kuala Lumpur,Boeing 777-2H6ER,9M-MRD,28411/84,298.0,283.0,15.0,298.0,283.0,15.0,0,"A Boeing 777-200 airliner operating as  Malaysia Airlines Flight 17, crashed about 40 miles east of Donetsk, Ukraine. The plane was 90 minutes into its flight, flying at 33,000 feet, when it was apparently hit by a Russian Buk missile. The missile exploded a few feet away from the cockpit .Debris was spread over a wide area. All 283 passengers and crew of 15 were killed."
"July 23, 2014",1906,"Magong, Taiwan",TransAsia Airways,222,Kaohsiung - Magong,ATR 72-500,B-22810,642,58.0,54.0,4.0,48.0,44.0,4.0,0,"The passenger plane crashed into residential building while attempting to make an emergency landing during inclement weather due to the passing of hurricane Matmo.  The flight recorder revealed that after the the crew lost track of its flight path and moved away from the runway, the plane rapidly lost altitude and crashed to the ground in a period of 7.9 seconds. By the time the two pilots yelled to go around, there was nothing they could do to change the velocity and altitude of the plane in time to prevent a crash. The airport's control tower did not inform the aircraft of local weather conditions.The cause was  pilot error and a failure within the airline to follow safety procedures. The flight crew did not comply with the published runway 20 VOR non-precision instrument approach procedures at Magong Airport with respect to the minimum descent altitude. The captain, as the pilot flying, intentionally descended the aircraft below the published MDA of 330 feet in the instrument meteorological conditions."
"July 24, 2014",0147,"Aguelhok, Mali",Air Algerie,AH5017,"Ouagadougou, Burkina Faso - Algiers, Algeria",Mc Donnell Douglas MD-83,EC-LTV,53190/2148,116.0,110.0,6.0,116.0,110.0,6.0,0,"Radar contact was lost 50 minutes after the flight took off from Ouagadougou and after the crew diverted from their planned course due to bad weather. Wreckage was found in the northern mali dessert. The plane was on loan from Swiftair. The crew likely did not activate the system during climb and cruise. As a result of the icing of the pressure sensors, the erroneous information transmitted to the auto throttle meant that the latter limited the thrust delivered by the engines. Under these conditions, the thrust was insufficient to maintain cruise speed and the aircraft slowed down and stalled."
"August 10, 2014",0918,"Tehran, Iran",Sepahan Airlines,5915,Tehran - Tabas,HESA Iran-140-100,EP-GPA,9005,48.0,40.0,8.0,39.0,31.0,8.0,0,"After taking off, the passenger banked to the right, lost altitude, and crashed into a residential neighborhood, bursting into flames. The plane appeared to have lost an engine during the takeoff. Excessive load and malfuncioning propeller."
"August 30, 2014",0244,"Tamanraset, Algeria",Ukraine Air Alliance,?,Glascow -Tamanraset - Equitorial Guinea,Antonov An-12BK,UR-DWF,8345802,7.0,5.0,2.0,7.0,5.0,2.0,0,"The cargo plane crashed in the mountainous southeastern region of Algereia, 15 km south of the airport, shortly after taking off."
"August 31, 2014",1945,"Mwanza, Tanzania",Safari Express Cargo,?,Mwanza - Nairobi,Fokker F-27 MK 500,5Y-SXP,10681,3.0,1.0,2.0,3.0,1.0,2.0,0,"The cargo plane crashed within the borders of Serengeti National Park not far from the Kenya - Tanzania border, shortly after taking off from Mwanza."
"September 20, 2014",0935,"Near Port Moresby, Papua New Guinea",Hevlift,?,Woitape - Port Moresby,de Havilland Canada DHC-6 Twin Otter 300,P2-KSV,528,9.0,7.0,2.0,4.0,2.0,2.0,0,"While approaching Port Moresby Jacksons International Airport, the unscheduled passenger plane impacted terrain near the top of Mt. Lawes, 7 miles east northeast of the airport in poor weather. The crew continued the descent in instrument meteorological conditions without confirming their position. The flight crews assessment of their position was incorrect and they had lost situational awareness."
"October 04, 2014",0156,"Wichita Falls, Texas",Air Evac Lifeteam,?,"Waurika, OK - Wichita Falls, TX",Bell 206L,?,?,4.0,1.0,3.0,2.0,1.0,1.0,0,"The air ambulance crashed while transporting a patient from Waurika, Oklahoma to United Regional Health Center. The patient was killed and 3 crew members injured."
"December 28, 2014",0300,"Near Uvira, Congo",Air Sirin,902,"Bujumbura, Burundi - Pointe Noire, Congo",Antonov An-26,4L-AFS,8606,6.0,0.0,6.0,6.0,0.0,6.0,0,The cargo plane impacted a mountainside while en route.
"December 28, 2014",0618,Java Sea,AirAsia,8501,Surabaya - Singapore,Airbus A-320-216,PK-AXC,3648,162.0,155.0,7.0,162.0,155.0,7.0,0,"The aircraft went missing while en route from Suabaya to Singapore. Contact was lost about 40 minutes after taking off. Before contact was lost, the pilot requested a route change due to weather conditions. Preliminary indications are the plane ran into poor weather and stalled from FL320. The rudder travel limiter faulted 3 times during the flight. On the fourth fault the captain decided to try resetting the system by pulling circuit breakers as he had seen a maintenance technician do on the ground. This caused the autopilot to disengage causing the plane to bank 54 degrees. The the first officer, who was flying, became disoriented and was slow to correct the bank. He then put the plane into a steep climb that caused the aircraft to stall and eventually crash. Records show that the plane flew with that mechanical problem for 12 months preceding the accident."
"January 18, 2015",?,"Near Abu adh Dhuhur Air Base, Syria",Syrian Air Force,?,Damascus - Abu Adh Dhuhur,Antonov An-26,?,?,37.0,35.0,2.0,37.0,35.0,2.0,0,"The army transport crashed while attempting to land in fog after hitting electric lines. The Al Nursa front, claimed that it shot down the aircraft."
"February 04, 2015",1055,"Taipei, Taiwan",Transasia,235,Taipei - Kinmen,ATR 72-600,B-22816,1141,58.0,53.0,5.0,43.0,39.0,4.0,0,"After the aircraft took off, it climbed to 1,300 feet, turned left and began losing altitude and speed. It then, banked to 90 degrees, the wingtip striking a taxi on a roadway and crashed into the Keelung River, coming to rest inverted. The torque censor in the right engine malfunctioned, feathering the engine. The pilot  then mistakenly throttled down a still-running left engine. The plane without power, lost altitude and crashed.  Pilot error."
"March 09, 2015",?,"Villa Castelli, Argentina",Private,?,Filiming,Both Eurocopter AS350B3,LQ-CGK - LQ-FJQ,?,10.0,8.0,2.0,10.0,8.0,2.0,0,"Three French sports figures, Florence Arthaud, Camille Muffat and Alexis Vastine, participating in the French reality show Droped, were killed along with seven other people when the two helicopters filming the show collided. Five killed on each helicopter"
"March 24, 2015",1053,"Near Digne-Les-Bains, France",Germanwings,9525,"Barcelona, Spain - Dusseldorf, Germany",Airbus A320-211,D-AIPX,147,150.0,144.0,6.0,150.0,144.0,6.0,0,"The jetliner crashed in a remote mountainous area of southern France. The plane was obliterated with no wreckage larger than a small car. According to a flight tracker, the plane fell from 38,000 ft. to 11,400 ft. in eight minutes. The aircraft impacted the ground at a high rate of speed. The copilot locked the captain out of the cockpit and deliberately put the plane into a controlled descent until it impacted the ground."
"June 25, 2015",1343,"Ella Lake, Alaska",Promech Air,?,Sightseeing,de Havilland DHC-3T Vazar TurbineOtter,N270PA,270,9.0,8.0,1.0,9.0,8.0,1.0,0,"The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan. The pilots decision to continue visual flight into an area of instrument meteorological conditions, which resulted in his geographic disorientation and controlled flight into terrain."
"June 30, 2015",1148,"Medan, Indonesia",Military - Indonesian Air Force,?,"Medan - Tanjung Pinang, Sumatra.",Lockheed C130-B Hercules,A-1310,3616,122.0,110.0,12.0,122.0,110.0,12.0,19,"The military transport crashed shortly after taking off from Soewondo Air Base. Two minutes into the flight, the crew radioed they were having engine problems and returning to the airport. Soon after, the plane went down in a populated area, hitting two empty buildings. The plane was carrying civilian relatives of military personnel."
"July 31, 2015",?,"Near Agustin Codazzi, Colombia",Military - Colombia Air Force,?,Palanquero AB -Valledupar,CASA CN-235-100,FAC1261,C-118,11.0,0.0,11.0,11.0,0.0,11.0,0,The military transport crashed while en route after the crew reported engine problems. The weather was reported to be poor at the time of the crash.
"August 12, 2015",0845,"Ninia, Indonesia",Komala Air,?,Wamena - Ninia,Pacific Aerospace,PK-KIG,650-0151,6.0,4.0,2.0,1.0,0.0,1.0,0,"Strong winds forced the crew to enter a holding pattern for 40 minutes. While attempting to land, the pilot touched down half-way down the runway and was unable to stop within the remaining distance. The plane overran the runway and went down an embankment before coming to rest. The copilot was killed."
"August 16, 2015",1455,"Tangok mountain, Papua",Trigana Air Service,267,Jayapura- Oksibil,ATR 42-300,PK-YRN,102,54.0,49.0,5.0,54.0,49.0,5.0,0,"The passenger plane crashed into Tangok mountain located in a remote area of Papua's eastern most province. There was no distress call from the aircraft. High winds and heavy rain was reported in the accident area. The deviation from the visual approach guidance in visual flight rules without considering the weather and terrain condition, with no or limited visual reference to the terrain. The habit of turning off the ground warning system. Inaccurate navigation charts"
"September 05, 2015",1908,"Off Dakar, Near Dioubel, Senegal",Senegalair,71,Ouagadougou - Dakar,Hawker Siddeley HS-125,6V-AIM,257062,7.0,5.0,2.0,7.0,2.0,5.0,0,"The air ambulance went missing while on a medical flight. Seven people were on board, including two pilots from Algeria, a flight engineer from Congo, three Senegalese medical crew and a French patient. The collision is due to 6V-AIM's non-compliance with its flight level."
"September 15, 2015",0624,"Iliamna East Wind Lake, Alaska",Rainbow King Lodge,?,Iliamna - Remote lake,de Havilland Canada DHC 3T Turbine Otter,N928PK,61,7.0,6.0,1.0,3.0,3.0,0.0,0,"While on the way to a remote fishing site, the non-sceduled passenger float plane crashed in trees as it attempted to take off. Three of the passengers were killed. The pilot's decision to depart in dark night, visual meteorological conditions over water, which resulted in his subsequent spatial disorientation and loss of airplane control."
"October 02, 2015",0019,"Jalalabad, Afghanistan",Military - U.S. Army,?,Jalalabad - Bagram,Lockheed C-130J Hercules,08-3174,5648,11.0,5.0,6.0,11.0,5.0,6.0,2,"The military transport crashed while taking off from Jalalabad Airport. Five crew members, 5 passengers and 2 on the ground were killed. The MPs placement of the hard-shell NVG case in front of the yoke blocking forward movement of the flight controls, the distractions experienced by the MP and MCP during the course of the ERO, and the misidentification of the malfunction once airborne."
"October 02, 2015",1429,"Near Masamba, Indonesia",Avistar Mandari ,7503,Masamba - Makassar,de Havilland DHC-6 Twin Otter ,PK-BRM,741,10.0,7.0,3.0,10.0,7.0,3.0,0,The aircraft went missing minutes after talking off from the airport. Seven passengers and three crew were on board. Wreckage was located on Mount Latimojong. Deviation from the company visual route without properly considering the elevated risks of cruising altitude lower than the highest terrain and instrument meteorological condition in addition with the absence of the EGPWS warning resulted in the omission of avoidance actions.
"October 31, 2015",0830,"Near Ilaga, Indonesia",Trigana Air Service,?,Timik - Ilaga,de Havilland DCH-4T Caribou,PK-SWW,303,4.0,0.0,4.0,4.0,0.0,4.0,0,"The cargo plane carrying construction materials, hit the slope of a mountain in Iiaga Pass, 12 km south of Ilaga airport and disintegrated upon impact."
"October 31, 2015",0613,"Near Hasna, Egypt",Metrojet,9268,Sharem el Sheikh - St. Petersburg,Airbus A321-231,EI-ETJ,663,224.0,217.0,7.0,224.0,217.0,7.0,0,"Approximate 25 minutes after taking off from Sharem el Sheikh airport, radar contact was lost with the airliner. Wreckage was found near Hasna in the north Sinai. The aircraft was flying at about 30,000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device in the left rear cargo hold. The improvised device was equivalent to 2.2 lbs of TNT."
"November 04, 2015",0900,"Juba, South Sudan",Allied Services Limited ,?,Juba - Paloich,Antonov 12BK,EY-406 ,1347704,43.0,38.0,5.0,41.0,37.0,4.0,0,"The cargo plane had just taken off from Juba Airport when it had difficulty gaining altitude and crashed into a hill about half a mile east of Runway 13. South Sudan Authorities reported the aircraft was unable to climb because it was overload, and the captain reported to ATC prior to departure he was carrying 12 passengers."
"November 21, 2015",1155,"  Fox Glacier, South Valley, New Zealand",Alpine Adventures,?,Sightseeing,Aerospatiale AS 350B2 Ecureuil,ZK-HKU,1132,7.0,6.0,1.0,7.0,6.0,1.0,0,"The sightseeing helicopter crashed into a crevasse on Fox Glacier. The wreckage site was 2, 500 feet up the valley with debris scattered across hundreds of feet."
"November 24, 2015",1015,"Near Igarka, Russia",Turuhan Avia,?,Igarka - Krasnyi Selkub,Mil MI-8T,RA-2561,98206821/59,26.0,22.0,4.0,15.0,13.0,2.0,0,"Contact with the helicopter, which was heading to an oil pumping station, was lost 15 minutes after taking off. One of the pilots and a mechanic were among the crew members killed."
"January 08, 2016",0020,"Akkajaure Lake, Norrbotten, Sweden",West Air Sweden,294,Oslo - Tromsø,Canadair CRJ-200,SE-DUX,7010,2.0,0.0,2.0,2.0,0.0,2.0,0,"While en route, the crew of the cargo plan sent a unintelligible mayday message. The plane went into a near vertical dive and disintegrated on impact with the ground. The PC ,while flying at night, one Inertial Reference Unit failed and suddenly the instruments for the pilot flying showed the plane pitching steeply up, which he tried to correct.  Due to the plane's unusual attitude, the instruments went into a ""declutter"" mode, which among other things removed the indication that the two pilots' instruments were conflicting."
"February 02, 2016",?," Near Mogadishu, Somalia",Daallo Airlines,3159,Mogadishu - Djibouti,Airbus A321-111,SX-BHS,642,,,,,,,0,Shortly after leaving Mogadishu Airport a loud bang was heard in the cabin. There was a loss of pressurization and the plane made an emergency landing back at the airport. A large hole was observed in the side of the fuselage. A bomb containing TNT was detonated in the cabin. The bomber was sucked out of the plane and killed.
"February 24, 2016",0815,"Dana, Nepal",Tara Air,193, Pokhara - Jomsom,de Havilland DHC-6 Twin Otter 400,9N-AHH,926,23.0,20.0,3.0,23.0,20.0,3.0,0,"The plane crashed in the mountainous northern region of Nepal half-way through a 20 minute flight to Jomsom. The plane was relatively new. There was wind and dense fog at the time of the accident. It was determined that the crew deviated from the prescribed route to the left while descending to Jomsom due to the presence of clouds in the area. In doing so, the aircraft descended to 10,000 feet in clouds while flying under visual flight rules (VFR). When the GPWS warning sounded, the crew failed to react immediately and the aircraft hit a cliff at the altitude of 10,700 feet before coming to rest at the altitude of 10,982 feet."
"February 26, 2016",?,"250 miles northwest of Kathmandu, Nepal",Kasthamandap Airlines,?,Nepalganj - Jumla,PAC 750XL,9N-AJB,160,11.0,9.0,2.0,2.0,0.0,2.0,0,The plane went into a steep descent and crashed onto a field in the mountains of the Kalikot district. The plane was reported to be trying to make an emergency landing. Both the pilot and copilot were killed and nine passengers were injured.
"March 09, 2016",0905,"Cox's Bazar, Bangladesh",True Aviation Ltd.,?,Cox's Bazar - Jessore,Antonov AN-26 ,S2-AGZ,13408,4.0,0.0,4.0,3.0,0.0,3.0,0,"The cargo plane, carrying shrimp, crashed less than 5 minutes after taking off from Cox's Bazar Airport. The pilot declaired an emergency and tried to return to the airport but crashed into the shallow waters of the Bay of Bengal just offshore. Failure to initiate a rejected take off during take off roll following the indication of engine failure;
Failure to adhere to the company SOP following the detection of the engine failure during take off;"
"March 15, 2016",1430,"Fatima Pastaza, Ecuador",Military - Ecuador Army,?,Training,IAI Attava 201 ,E-206,090,22.0,19.0,3.0,22.0,19.0,3.0,0,"The crew was conducting sky diving exercises when, an hour into the flight they radioed they were returning to base due to deuterating weather conditions. Shortly thereafter the plane went out of control and crashed in a wooded area. Nineteen passengers and the 3 pilots were killed."
